proteins	genes	gene_name	kcat	rxns	notes	stoicho
Q12122	YDL131W	YDL131W	0.617	r_1838	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.3.3.14)	1
P38225	YBR041W	YBR041W	0.062	r_1981	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=6.2.1.-)	1
P38113	YBR145W	YBR145W	283.0	r_2115	BRENDA+phyldist (tier=2, wc=0, phyl_d=0, ec=1.1.1.1)	1
P35731	YKL055C	YKL055C	117.5	r_2145	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.100)	1
P35731	YKL055C	YKL055C	117.5	r_2146	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.100)	1
P35731	YKL055C	YKL055C	117.5	r_2147	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.100)	1
P38225	YBR041W	YBR041W	42.9	r_2213	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=6.2.1.-)	1
P38225	YBR041W	YBR041W	42.9	r_2214	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=6.2.1.-)	1
P38225	YBR041W	YBR041W	42.9	r_2215	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=6.2.1.-)	1
P38225	YBR041W	YBR041W	42.9	r_2216	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=6.2.1.-)	1
P38225	YBR041W	YBR041W	42.9	r_2217	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=6.2.1.-)	1
P38225	YBR041W	YBR041W	42.9	r_2218	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=6.2.1.-)	1
P13711	YGL205W	YGL205W	8.59	r_2237	BRENDA+phyldist (tier=2, wc=0, phyl_d=0, ec=1.3.3.6)	1
P38221	YBR029C	YBR029C	8.92	r_2432	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2433	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2434	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2435	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2436	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2437	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2438	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2439	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2440	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2441	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
P38221	YBR029C	YBR029C	8.92	r_2442	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.7.41)	1
